run,family,train_nelbo,eval_nelbo,train_loss,train_ce,grad_norm,eval_fid,eval_is_mean,eval_is_std,eval_ssim
guidance_reasoning_middle_end_maskmatched_rw2e-3,advanced_reasoning,3.163075685501098,3.131470203399658,3.1635894775390625,0.4472602605819702,5.496492385864258,205.4232177734375,2.834358692169189,0.4852428734302521,0.0426145046949386
guidance_reasoning_middle_end_samemaskfull_rw2e-3,advanced_reasoning,3.162642478942871,3.122208595275879,3.163735628128052,0.4460378885269165,5.813085079193115,205.89096069335935,2.745489358901977,0.4114347398281097,0.0419840104877948
counterfactual_gradalign_scalarcf_middle_cfw1e-4,counterfactual,3.1785120964050293,3.1337313652038574,3.1789612770080566,0.4488652348518371,5.300374507904053,207.69224548339844,2.7657856941223145,0.4887052178382873,0.0384702384471893
counterfactual_scalarcf_middle_cfw1e-4,counterfactual,3.177912712097168,3.141242265701294,3.178361654281616,0.4485727250576019,4.6433281898498535,202.67930603027344,2.947298765182495,0.5638350248336792,0.0290337782353162
counterfactual_utilitycf_middle_cfw1e-4,counterfactual,3.1682000160217285,3.135981559753418,3.168644905090332,0.4475546479225158,4.735149383544922,203.983642578125,2.817131757736206,0.4380500018596649,0.0458022207021713
counterfactual_gradalign_scalarcf_middle_cfw5e-4,counterfactual,3.166532516479492,3.1298370361328125,3.166980028152466,0.4473954737186432,5.593571662902832,204.85797119140625,2.791078567504883,0.5873835682868958,0.0408949479460716
counterfactual_scalarcf_middle_cfw5e-4,counterfactual,3.16792368888855,3.1357758045196533,3.1683719158172607,0.4479551613330841,4.8836870193481445,208.81124877929688,2.769448518753052,0.3882261514663696,0.0465532429516315
counterfactual_utilitycf_middle_cfw5e-4,counterfactual,3.175694942474365,3.139105319976806,3.176141262054444,0.4486218094825744,5.501413822174072,210.41925048828125,2.8016128540039062,0.4153001010417938,0.0368973165750503
counterfactual_gradalign_scalarcf_middle_cfw2e-3,counterfactual,3.158964157104492,3.140141248703003,3.159409999847412,0.4460567533969879,5.085957050323486,214.93109130859372,2.5631520748138428,0.4081941246986389,0.0411908142268657
counterfactual_scalarcf_middle_cfw2e-3,counterfactual,3.172240734100342,3.137937545776367,3.1726880073547363,0.4480593800544739,5.007984161376953,210.33995056152344,2.870393991470337,0.4320439994335174,0.036472849547863
counterfactual_utilitycf_middle_cfw2e-3,counterfactual,3.1578011512756348,3.129310131072998,3.1578831672668457,0.4451356530189514,5.432960510253906,201.89991760253903,2.901678562164306,0.3845057487487793,0.0353458449244499
scheduler_adaptive_alpha0.5_mix0.25,scheduling,3.1629743576049805,3.1337852478027344,3.1634774208068848,0.5032418966293335,4.935993671417236,207.49790954589844,2.785186529159546,0.2519404590129852,0.0300474967807531
scheduler_constrained_adaptive_alpha0.5_mix0.25,scheduling,3.171436548233032,3.131269216537476,3.171912431716919,0.4759430587291717,5.677209854125977,205.44976806640625,2.7198681831359863,0.5765613317489624,0.0362829677760601
scheduler_curriculum_obs0.50_to_uniform,scheduling,3.1563363075256348,3.126053094863892,3.1567838191986084,0.4472864866256714,4.592092037200928,212.1916961669922,2.767460823059082,0.2729921042919159,0.0370565056800842
scheduler_adaptive_alpha0.75_mix0.15,scheduling,3.1617932319641118,3.1343812942504883,3.16233491897583,0.5414366126060486,5.030496120452881,210.1409149169922,2.589447259902954,0.3363421857357025,0.0227070581167936
scheduler_constrained_adaptive_alpha0.75_mix0.15,scheduling,3.1602399349212646,3.126757860183716,3.160730600357056,0.4908375740051269,4.992485523223877,207.29351806640625,2.6994893550872803,0.4618041515350342,0.0422123111784458
scheduler_curriculum_obs0.75_to_uniform,scheduling,3.1767048835754395,3.1377487182617188,3.1771557331085205,0.4506454765796661,4.827899932861328,205.32310485839844,2.6456918716430664,0.2912786900997162,0.0214873794466257
scheduler_adaptive_alpha1.0_mix0.10,scheduling,3.172423839569092,3.13929295539856,3.173004627227783,0.5808194279670715,5.061663627624512,204.3573303222656,2.9671990871429443,0.3398760259151459,0.0260754786431789
scheduler_constrained_adaptive_alpha1.0_mix0.10,scheduling,3.156810522079468,3.1268303394317627,3.157315731048584,0.5048030614852905,4.852554798126221,206.07899475097656,2.949559211730957,0.3764124512672424,0.0393026247620582
scheduler_curriculum_obs0.90_to_uniform,scheduling,3.1739208698272705,3.144619464874268,3.1743719577789307,0.4504183232784271,5.162998676300049,209.64588928222656,2.777395248413086,0.3014954626560211,0.0315160043537616
scheduler_stratified_timestep,scheduling,3.172607421875,3.143706798553467,3.1730549335479736,0.4478350877761841,5.369786739349365,202.84359741210935,2.696465253829956,0.4118343293666839,0.0415297262370586
